reward_improvement,perturb_type,perturb_idx_0,perturb_idx_1,perturb_idx_2
0.24,large,226,320.0,326.0
0.24,large,226,320.0,325.0
0.24,large,226,320.0,324.0
0.24,large,226,320.0,323.0
0.24,large,226,320.0,322.0
0.24,large,226,320.0,321.0
0.24,large,226,319.0,326.0
0.24,large,226,319.0,325.0
0.24,large,226,314.0,317.0
0.24,large,226,313.0,326.0
0.24,large,226,313.0,325.0
0.24,large,226,313.0,324.0
0.24,large,226,313.0,323.0
0.24,large,226,313.0,322.0
0.24,large,226,313.0,321.0
0.24,large,226,313.0,320.0
0.24,large,226,314.0,325.0
0.24,large,226,314.0,324.0
0.24,large,226,314.0,323.0
0.24,large,226,314.0,322.0
0.24,large,226,314.0,321.0
0.24,large,226,314.0,320.0
0.24,large,226,314.0,319.0
0.24,large,226,314.0,318.0
0.24,large,226,315.0,326.0
0.24,large,226,315.0,325.0
0.24,large,226,315.0,324.0
0.24,large,226,315.0,323.0
0.24,large,226,315.0,321.0
0.24,large,226,315.0,319.0
0.24,large,226,315.0,317.0
0.24,large,226,314.0,326.0
0.24,large,226,316.0,324.0
0.24,large,226,316.0,323.0
0.24,large,226,316.0,322.0
0.24,large,226,316.0,321.0
0.24,large,226,316.0,320.0
0.24,large,226,316.0,319.0
0.24,large,226,316.0,318.0
0.24,large,226,316.0,317.0
0.24,large,226,308.0,325.0
0.24,large,226,308.0,324.0
0.24,large,226,308.0,323.0
0.24,large,226,308.0,322.0
0.24,large,226,308.0,321.0
0.24,large,226,308.0,320.0
0.24,large,226,308.0,319.0
0.24,large,226,308.0,317.0
0.24,large,226,309.0,323.0
0.24,large,226,309.0,322.0
0.24,large,226,309.0,321.0
0.24,large,226,309.0,320.0
0.24,large,226,309.0,319.0
0.24,large,226,309.0,318.0
0.24,large,226,309.0,317.0
0.24,large,226,308.0,326.0
0.24,large,226,312.0,321.0
0.24,large,226,312.0,320.0
0.24,large,226,312.0,319.0
0.24,large,226,312.0,318.0
0.24,large,226,312.0,317.0
